date,cases_unvac_rate_per100K,age_group
2021-10-28,4.37,0-11yrs
2021-10-28,10.82,12-17yrs
2021-10-28,6.80,18-39yrs
2021-10-28,8.38,40-59yrs
2021-10-28,22.52,60-79yrs
2021-10-28,0.00,80+
2021-10-28,6.58,ALL
2021-10-29,4.76,0-11yrs
2021-10-29,9.06,12-17yrs
2021-10-29,7.88,18-39yrs
2021-10-29,8.63,40-59yrs
2021-10-29,21.13,60-79yrs
2021-10-29,0.00,80+
2021-10-29,6.93,ALL
2021-10-30,3.92,0-11yrs
2021-10-30,11.56,12-17yrs
2021-10-30,7.02,18-39yrs
2021-10-30,6.82,40-59yrs
2021-10-30,11.49,60-79yrs
2021-10-30,0.00,80+
2021-10-30,5.87,ALL
2021-10-31,2.74,0-11yrs
2021-10-31,5.51,12-17yrs
2021-10-31,6.66,18-39yrs
2021-10-31,7.47,40-59yrs
2021-10-31,14.89,60-79yrs
2021-10-31,0.00,80+
2021-10-31,5.04,ALL
2021-11-01,4.70,0-11yrs
2021-11-01,13.50,12-17yrs
2021-11-01,9.30,18-39yrs
2021-11-01,5.61,40-59yrs
2021-11-01,16.63,60-79yrs
2021-11-01,0.00,80+
2021-11-01,6.79,ALL
2021-11-02,3.53,0-11yrs
2021-11-02,9.86,12-17yrs
2021-11-02,4.08,18-39yrs
2021-11-02,6.26,40-59yrs
2021-11-02,13.42,60-79yrs
2021-11-02,0.00,80+
2021-11-02,4.72,ALL
2021-11-03,2.97,0-11yrs
2021-11-03,7.43,12-17yrs
2021-11-03,7.68,18-39yrs
2021-11-03,9.02,40-59yrs
2021-11-03,12.70,60-79yrs
2021-11-03,0.00,80+
2021-11-03,5.55,ALL
2021-11-04,4.20,0-11yrs
2021-11-04,6.85,12-17yrs
2021-11-04,9.72,18-39yrs
2021-11-04,9.48,40-59yrs
2021-11-04,19.66,60-79yrs
2021-11-04,0.00,80+
2021-11-04,6.90,ALL
2021-11-05,5.15,0-11yrs
2021-11-05,10.01,12-17yrs
2021-11-05,10.97,18-39yrs
2021-11-05,10.58,40-59yrs
2021-11-05,14.68,60-79yrs
2021-11-05,0.00,80+
2021-11-05,7.90,ALL
2021-11-06,4.36,0-11yrs
2021-11-06,10.06,12-17yrs
2021-11-06,12.24,18-39yrs
2021-11-06,8.50,40-59yrs
2021-11-06,19.15,60-79yrs
2021-11-06,0.00,80+
2021-11-06,7.73,ALL
2021-11-07,6.77,0-11yrs
2021-11-07,15.81,12-17yrs
2021-11-07,13.91,18-39yrs
2021-11-07,12.16,40-59yrs
2021-11-07,14.90,60-79yrs
2021-11-07,0.00,80+
2021-11-07,9.95,ALL
2021-11-08,5.93,0-11yrs
2021-11-08,8.24,12-17yrs
2021-11-08,9.74,18-39yrs
2021-11-08,7.48,40-59yrs
2021-11-08,15.87,60-79yrs
2021-11-08,0.00,80+
2021-11-08,7.48,ALL
2021-11-09,4.98,0-11yrs
2021-11-09,6.99,12-17yrs
2021-11-09,8.29,18-39yrs
2021-11-09,8.57,40-59yrs
2021-11-09,16.89,60-79yrs
2021-11-09,0.00,80+
2021-11-09,6.91,ALL
2021-11-10,4.31,0-11yrs
2021-11-10,11.50,12-17yrs
2021-11-10,8.33,18-39yrs
2021-11-10,7.74,40-59yrs
2021-11-10,13.45,60-79yrs
2021-11-10,0.00,80+
2021-11-10,6.49,ALL
2021-11-11,8.39,0-11yrs
2021-11-11,15.39,12-17yrs
2021-11-11,10.84,18-39yrs
2021-11-11,12.31,40-59yrs
2021-11-11,17.21,60-79yrs
2021-11-11,0.00,80+
2021-11-11,10.30,ALL
2021-11-12,5.59,0-11yrs
2021-11-12,9.01,12-17yrs
2021-11-12,13.37,18-39yrs
2021-11-12,11.49,40-59yrs
2021-11-12,23.74,60-79yrs
2021-11-12,0.00,80+
2021-11-12,9.21,ALL
2021-11-13,6.48,0-11yrs
2021-11-13,21.33,12-17yrs
2021-11-13,10.25,18-39yrs
2021-11-13,13.93,40-59yrs
2021-11-13,24.89,60-79yrs
2021-11-13,0.00,80+
2021-11-13,9.76,ALL
2021-11-14,6.99,0-11yrs
2021-11-14,16.87,12-17yrs
2021-11-14,9.03,18-39yrs
2021-11-14,11.78,40-59yrs
2021-11-14,25.06,60-79yrs
2021-11-14,0.00,80+
2021-11-14,9.31,ALL
2021-11-15,6.32,0-11yrs
2021-11-15,12.34,12-17yrs
2021-11-15,9.74,18-39yrs
2021-11-15,13.98,40-59yrs
2021-11-15,15.86,60-79yrs
2021-11-15,0.00,80+
2021-11-15,8.88,ALL
2021-11-16,4.47,0-11yrs
2021-11-16,11.07,12-17yrs
2021-11-16,9.08,18-39yrs
2021-11-16,10.08,40-59yrs
2021-11-16,22.57,60-79yrs
2021-11-16,0.00,80+
2021-11-16,7.34,ALL
2021-11-17,5.64,0-11yrs
2021-11-17,9.80,12-17yrs
2021-11-17,7.44,18-39yrs
2021-11-17,13.41,40-59yrs
2021-11-17,14.24,60-79yrs
2021-11-17,0.00,80+
2021-11-17,7.79,ALL
2021-11-18,8.10,0-11yrs
2021-11-18,9.18,12-17yrs
2021-11-18,11.55,18-39yrs
2021-11-18,11.69,40-59yrs
2021-11-18,23.96,60-79yrs
2021-11-18,0.00,80+
2021-11-18,10.05,ALL
2021-11-19,9.55,0-11yrs
2021-11-19,11.18,12-17yrs
2021-11-19,13.30,18-39yrs
2021-11-19,13.94,40-59yrs
2021-11-19,34.81,60-79yrs
2021-11-19,0.00,80+
2021-11-19,12.04,ALL
