Date,Number of Cases,Type of Data
2021-11-01,331,Total Ontario Cases
2021-11-02,378,Total Ontario Cases
2021-11-03,438,Total Ontario Cases
2021-11-04,563,Total Ontario Cases
2021-11-05,508,Total Ontario Cases
2021-11-06,636,Total Ontario Cases
2021-11-07,480,Total Ontario Cases
2021-11-08,441,Total Ontario Cases
2021-11-09,454,Total Ontario Cases
2021-11-10,642,Total Ontario Cases
2021-11-11,598,Total Ontario Cases
2021-11-12,661,Total Ontario Cases
2021-11-13,666,Total Ontario Cases
2021-11-14,552,Total Ontario Cases
2021-11-15,481,Total Ontario Cases
2021-11-16,512,Total Ontario Cases
2021-11-17,711,Total Ontario Cases
2021-11-18,793,Total Ontario Cases
2021-11-19,728,Total Ontario Cases
2021-11-20,741,Total Ontario Cases
2021-11-21,627,Total Ontario Cases
2021-11-22,613,Total Ontario Cases
2021-11-23,591,Total Ontario Cases
2021-11-24,748,Total Ontario Cases
2021-11-25,927,Total Ontario Cases
2021-11-26,854,Total Ontario Cases
2021-11-27,964,Total Ontario Cases
2021-11-28,788,Total Ontario Cases
2021-11-29,687,Total Ontario Cases
2021-11-30,780,Total Ontario Cases
2021-11-01,144,Total School Cases
2021-11-02,89,Total School Cases
2021-11-03,86,Total School Cases
2021-11-04,67,Total School Cases
2021-11-05,85,Total School Cases
2021-11-08,181,Total School Cases
2021-11-09,119,Total School Cases
2021-11-10,81,Total School Cases
2021-11-11,95,Total School Cases
2021-11-12,86,Total School Cases
2021-11-15,245,Total School Cases
2021-11-16,128,Total School Cases
2021-11-17,129,Total School Cases
2021-11-18,109,Total School Cases
2021-11-19,112,Total School Cases
2021-11-22,277,Total School Cases
2021-11-23,170,Total School Cases
2021-11-24,154,Total School Cases
2021-11-25,141,Total School Cases
2021-11-26,131,Total School Cases
2021-11-29,320,Total School Cases
2021-11-30,185,Total School Cases
