date,number_of_cases/downloads,which_data
2021-01-01,4,case
2021-01-01,133,case
2021-01-01,94,case
2021-01-01,993,case
2021-01-01,694,case
2021-01-01,654,case
2021-01-01,214,case
2021-01-01,35,case
2021-01-01,107,case
2021-01-01,42,case
2021-01-01,852,case
2021-01-01,22,case
2021-01-01,84,case
2021-01-01,51,case
2021-01-01,178,case
2021-01-01,36,case
2021-01-01,806,case
2021-01-01,764,case
2021-01-01,9,case
2021-01-01,18,case
2021-01-01,343,case
2021-01-01,4328,case
2021-01-01,65,case
2021-01-01,10,case
2021-01-01,18,case
2021-01-01,516,case
2021-01-01,23,case
2021-01-01,56,case
2021-01-01,26,case
2021-01-01,6135,case
2021-01-01,421,case
2021-01-01,390,case
2021-01-01,1518,case
2021-01-01,1943,case
2021-01-02,13,case
2021-01-02,154,case
2021-01-02,88,case
2021-01-02,1043,case
2021-01-02,738,case
2021-01-02,742,case
2021-01-02,247,case
2021-01-02,38,case
2021-01-02,123,case
2021-01-02,59,case
2021-01-02,923,case
2021-01-02,35,case
2021-01-02,103,case
2021-01-02,46,case
2021-01-02,245,case
2021-01-02,45,case
2021-01-02,834,case
2021-01-02,828,case
2021-01-02,8,case
2021-01-02,19,case
2021-01-02,376,case
2021-01-02,4625,case
2021-01-02,80,case
2021-01-02,8,case
2021-01-02,15,case
2021-01-02,523,case
2021-01-02,24,case
2021-01-02,51,case
2021-01-02,26,case
2021-01-02,6242,case
2021-01-02,421,case
2021-01-02,417,case
2021-01-02,1635,case
2021-01-02,2073,case
2021-01-03,14,case
2021-01-03,157,case
2021-01-03,95,case
2021-01-03,1129,case
2021-01-03,794,case
2021-01-03,875,case
2021-01-03,281,case
2021-01-03,46,case
2021-01-03,134,case
2021-01-03,64,case
2021-01-03,964,case
2021-01-03,33,case
2021-01-03,118,case
2021-01-03,43,case
2021-01-03,262,case
2021-01-03,47,case
2021-01-03,817,case
2021-01-03,862,case
2021-01-03,11,case
2021-01-03,22,case
2021-01-03,377,case
2021-01-03,4518,case
2021-01-03,96,case
2021-01-03,9,case
2021-01-03,16,case
2021-01-03,540,case
2021-01-03,25,case
2021-01-03,47,case
2021-01-03,29,case
2021-01-03,6464,case
2021-01-03,503,case
2021-01-03,430,case
2021-01-03,1634,case
2021-01-03,2155,case
2021-01-04,16,case
2021-01-04,176,case
2021-01-04,105,case
2021-01-04,1122,case
2021-01-04,866,case
2021-01-04,905,case
2021-01-04,322,case
2021-01-04,42,case
2021-01-04,135,case
2021-01-04,70,case
2021-01-04,971,case
2021-01-04,25,case
2021-01-04,121,case
2021-01-04,45,case
2021-01-04,332,case
2021-01-04,46,case
2021-01-04,847,case
2021-01-04,854,case
2021-01-04,14,case
2021-01-04,21,case
2021-01-04,394,case
2021-01-04,4692,case
2021-01-04,100,case
2021-01-04,6,case
2021-01-04,26,case
2021-01-04,550,case
2021-01-04,26,case
2021-01-04,51,case
2021-01-04,22,case
2021-01-04,6833,case
2021-01-04,564,case
2021-01-04,458,case
2021-01-04,1741,case
2021-01-04,2280,case
2021-01-05,20,case
2021-01-05,176,case
2021-01-05,140,case
2021-01-05,1179,case
2021-01-05,952,case
2021-01-05,905,case
2021-01-05,350,case
2021-01-05,47,case
2021-01-05,145,case
2021-01-05,74,case
2021-01-05,1013,case
2021-01-05,34,case
2021-01-05,125,case
2021-01-05,46,case
2021-01-05,332,case
2021-01-05,43,case
2021-01-05,938,case
2021-01-05,856,case
2021-01-05,15,case
2021-01-05,21,case
2021-01-05,373,case
2021-01-05,4974,case
2021-01-05,88,case
2021-01-05,7,case
2021-01-05,28,case
2021-01-05,581,case
2021-01-05,29,case
2021-01-05,55,case
2021-01-05,20,case
2021-01-05,7054,case
2021-01-05,619,case
2021-01-05,464,case
2021-01-05,1731,case
2021-01-05,2406,case
2021-01-06,27,case
2021-01-06,159,case
2021-01-06,132,case
2021-01-06,1190,case
2021-01-06,961,case
2021-01-06,877,case
2021-01-06,388,case
2021-01-06,44,case
2021-01-06,143,case
2021-01-06,70,case
2021-01-06,1023,case
2021-01-06,31,case
2021-01-06,114,case
2021-01-06,53,case
2021-01-06,289,case
2021-01-06,43,case
2021-01-06,992,case
2021-01-06,966,case
2021-01-06,23,case
2021-01-06,20,case
2021-01-06,370,case
2021-01-06,4998,case
2021-01-06,85,case
2021-01-06,5,case
2021-01-06,29,case
2021-01-06,584,case
2021-01-06,36,case
2021-01-06,45,case
2021-01-06,18,case
2021-01-06,7099,case
2021-01-06,741,case
2021-01-06,457,case
2021-01-06,1693,case
2021-01-06,2359,case
2021-01-07,38,case
2021-01-07,167,case
2021-01-07,132,case
2021-01-07,1205,case
2021-01-07,1044,case
2021-01-07,803,case
2021-01-07,402,case
2021-01-07,57,case
2021-01-07,147,case
2021-01-07,75,case
2021-01-07,1030,case
2021-01-07,29,case
2021-01-07,104,case
2021-01-07,52,case
2021-01-07,233,case
2021-01-07,46,case
2021-01-07,1034,case
2021-01-07,975,case
2021-01-07,28,case
2021-01-07,33,case
2021-01-07,347,case
2021-01-07,5081,case
2021-01-07,87,case
2021-01-07,6,case
2021-01-07,28,case
2021-01-07,591,case
2021-01-07,44,case
2021-01-07,45,case
2021-01-07,16,case
2021-01-07,7290,case
2021-01-07,810,case
2021-01-07,503,case
2021-01-07,1725,case
2021-01-07,2511,case
2021-01-08,40,case
2021-01-08,185,case
