Date,Percentage_fully_vaccinated
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.1
2021-01-15,0.1
2021-01-16,0.1
2021-01-17,0.1
2021-01-18,0.1
2021-01-19,0.1
2021-01-20,0.1
2021-01-21,0.2
2021-01-22,0.2
2021-01-23,0.3
2021-01-24,0.3
2021-01-25,0.3
2021-01-26,0.4
2021-01-27,0.5
2021-01-28,0.5
2021-01-29,0.6
2021-01-30,0.7000000000000001
2021-01-31,0.7000000000000001
2021-02-01,0.7000000000000001
2021-02-02,0.7000000000000001
2021-02-03,0.7000000000000001
2021-02-04,0.7000000000000001
2021-02-05,0.7000000000000001
2021-02-06,0.7000000000000001
2021-02-07,0.7000000000000001
2021-02-08,0.8
2021-02-09,0.8
2021-02-10,0.8
2021-02-11,0.8999999999999999
2021-02-12,1.0
2021-02-13,1.0999999999999999
2021-02-14,1.2
2021-02-15,1.2
2021-02-16,1.2
2021-02-17,1.3
2021-02-18,1.4000000000000001
2021-02-19,1.5
2021-02-20,1.6
2021-02-21,1.6
2021-02-22,1.7000000000000002
2021-02-23,1.7000000000000002
2021-02-24,1.7000000000000002
2021-02-25,1.7999999999999998
2021-02-26,1.7999999999999998
2021-02-27,1.7999999999999998
2021-02-28,1.7999999999999998
2021-03-01,1.7999999999999998
2021-03-02,1.7999999999999998
2021-03-03,1.7999999999999998
2021-03-04,1.7999999999999998
2021-03-05,1.7999999999999998
2021-03-06,1.7999999999999998
2021-03-07,1.7999999999999998
2021-03-08,1.7999999999999998
2021-03-09,1.7999999999999998
2021-03-10,1.7999999999999998
2021-03-11,1.7999999999999998
2021-03-12,1.7999999999999998
2021-03-13,1.7999999999999998
2021-03-14,1.7999999999999998
2021-03-15,1.7999999999999998
2021-03-16,1.7999999999999998
2021-03-17,1.7999999999999998
2021-03-18,1.7999999999999998
2021-03-19,1.9
2021-03-20,1.9
2021-03-21,1.9
2021-03-22,1.9
2021-03-23,1.9
2021-03-24,1.9
2021-03-25,1.9
2021-03-26,1.9
2021-03-27,1.9
2021-03-28,1.9
2021-03-29,1.9
2021-03-30,1.9
2021-03-31,1.9
2021-04-01,1.9
2021-04-02,1.9
2021-04-03,1.9
2021-04-04,1.9
2021-04-05,1.9
2021-04-06,1.9
2021-04-07,1.9
2021-04-08,1.9
2021-04-09,1.9
2021-04-10,1.9
2021-04-11,2.0
2021-04-12,2.0
2021-04-13,2.0
2021-04-14,2.0
2021-04-15,2.0
2021-04-16,2.0
2021-04-17,2.0
2021-04-18,2.0
2021-04-19,2.0
2021-04-20,2.0
2021-04-21,2.0
2021-04-22,2.0
2021-04-23,2.0
2021-04-24,2.0
2021-04-25,2.1
2021-04-26,2.1
2021-04-27,2.1
2021-04-28,2.1
2021-04-29,2.1
2021-04-30,2.1
2021-05-01,2.1
2021-05-02,2.1
2021-05-03,2.1
2021-05-04,2.1
2021-05-05,2.1
2021-05-06,2.1999999999999997
2021-05-07,2.1999999999999997
2021-05-08,2.1999999999999997
2021-05-09,2.1999999999999997
2021-05-10,2.1999999999999997
2021-05-11,2.1999999999999997
2021-05-12,2.1999999999999997
2021-05-13,2.3
2021-05-14,2.3
2021-05-15,2.4
2021-05-16,2.4
2021-05-17,2.5
2021-05-18,2.6
2021-05-19,2.7
2021-05-20,2.8000000000000003
2021-05-21,3.0
2021-05-22,3.3000000000000003
2021-05-23,3.4000000000000004
2021-05-24,3.4000000000000004
2021-05-25,3.5000000000000004
2021-05-26,3.6999999999999997
2021-05-27,3.9
2021-05-28,4.1000000000000005
2021-05-29,4.3999999999999995
2021-05-30,4.5
2021-05-31,4.6
2021-06-01,4.7
2021-06-02,4.9
2021-06-03,5.1
2021-06-04,5.4
2021-06-05,5.6000000000000005
2021-06-06,5.8999999999999995
2021-06-07,6.0
2021-06-08,6.3
2021-06-09,6.6000000000000005
2021-06-10,7.000000000000001
2021-06-11,7.5
2021-06-12,8.1
2021-06-13,8.6
2021-06-14,8.9
2021-06-15,9.66
2021-06-16,10.51
2021-06-17,11.43
